Ano,População,Crescimento_Anual,Crescimento_Acumulado,Media_Movel_5_Anos
2001,172385826,,0.0,
2002,174632960,1.3035491676676392,1.3035491676676392,
2003,176871437,1.281818163077575,2.602076460741043,
2004,181569056,2.6559511697753724,5.327137510713897,
2005,184184264,1.4403379395220295,6.844204232893247,
2006,186770562,1.404190533888383,8.34450043473991,1.6171693947861996
2008,189605006,1.5176074696396702,9.988744666281324,1.6599810551806058
2009,191480630,0.9892270460411856,11.076783076121345,1.6014628317733284
2011,192379287,0.4693200560286437,11.598088696689013,1.1641366090239824
2012,193904015,0.7925634946344351,12.48257440840872,1.0345817200464635
2013,201032714,3.676406081637862,16.617890614742304,1.4890248295963593
2014,202768562,0.8634654357797755,17.624845792136057,1.3581964228243804
2015,204450049,0.829264153878051,18.600266474344586,1.3262038443917534
2016,206081432,0.7979372017660857,19.546622121937098,1.3919272735392418
2017,207660929,0.7664431407871763,20.462879007233468,1.38670320276979
2018,208494900,0.4016022677043818,20.946660661068496,0.7317424399830941
2019,210147125,0.7924534365109093,21.905106629822345,0.7175400401293208
2020,211755692,0.7654480164789312,22.83822685050685,0.7047768126494969
2021,213317639,0.7376174804311741,23.744303084407868,0.6927128683825146
2024,212583750,-0.3440357784946224,23.318578407948685,0.4706170845261548
